[06-Oct-2013 19:16:18 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=', expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\Listpro.php on line 18
[29-Oct-2013 20:50:17 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[29-Oct-2013 20:50:53 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[29-Oct-2013 21:03:04 Asia/Taipei] PHP Warning:  stristr(): Empty needle in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 239
[29-Oct-2013 21:04:30 Asia/Taipei] PHP Warning:  stristr(): Empty needle in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 239
[29-Oct-2013 21:04:56 Asia/Taipei] PHP Warning:  stristr(): Empty needle in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 239
[29-Oct-2013 21:05:33 Asia/Taipei] PHP Warning:  stristr(): Empty needle in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 239
[29-Oct-2013 21:08:01 Asia/Taipei] PHP Warning:  stristr(): Empty needle in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 239
[29-Oct-2013 21:09:46 Asia/Taipei] PHP Warning:  stristr(): Empty needle in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 240
[29-Oct-2013 21:10:56 Asia/Taipei] PHP Warning:  stristr(): Empty needle in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 241
[29-Oct-2013 21:11:34 Asia/Taipei] PHP Warning:  stristr(): Empty needle in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 241
[29-Oct-2013 21:12:28 Asia/Taipei] PHP Warning:  stristr(): Empty needle in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 241
[29-Oct-2013 21:22:24 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-10/AdditermData/1683_0_1383052686.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[29-Oct-2013 21:22:24 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-10/AdditermData/1683_1_1383052686.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[30-Oct-2013 17:32:01 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-10/AdditermData/1709_0_1383125405.jpg&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[31-Oct-2013 08:53:24 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-10/AdditermData/1803_0_1383180228.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[31-Oct-2013 08:53:24 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-10/AdditermData/1803_1_1383180228.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[31-Oct-2013 08:53:24 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-10/AdditermData/1803_2_1383180228.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[31-Oct-2013 19:41:25 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-10/AdditermData/RECORD093.mp4): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[01-Nov-2013 09:25:17 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[02-Nov-2013 08:49:12 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/1866_0_1383353145.jpg&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[03-Nov-2013 05:14:35 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-10/AdditermData/1716_0_1383126185.jpg&lt;/a&gt;&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[03-Nov-2013 05:22:56 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[03-Nov-2013 05:45:58 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[03-Nov-2013 09:46:52 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[04-Nov-2013 02:51:11 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/100041_0_1383504523.bin&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[04-Nov-2013 20:35:50 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[04-Nov-2013 20:47:34 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/1869_0_1383543980.jpg&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[04-Nov-2013 20:48:38 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/1869_0_1383543980.jpgheight=12): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[04-Nov-2013 21:23:36 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/100049_0_1383571351.jpg&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[05-Nov-2013 14:22:36 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[05-Nov-2013 14:24:16 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[05-Nov-2013 23:31:15 Asia/Taipei] PHP Fatal error:  Cannot redeclare CheckHTCsystem() (previously declared in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php:67) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 93
[05-Nov-2013 23:31:44 Asia/Taipei] PHP Fatal error:  Call to undefined function CheckAndroidsystem() in D:\PHP\TWAMPd\htdocs\ListproDevelop.php on line 31
[05-Nov-2013 23:31:58 Asia/Taipei] PHP Fatal error:  Cannot redeclare CheckHTCsystem() (previously declared in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php:67) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 93
[05-Nov-2013 23:32:15 Asia/Taipei] PHP Fatal error:  Call to undefined function CheckAndroidsystem() in D:\PHP\TWAMPd\htdocs\ListproDevelop.php on line 31
[06-Nov-2013 09:12:23 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/100060_0_1383632661.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[06-Nov-2013 11:14:03 Asia/Taipei] PHP Parse error:  syntax error, unexpected '||' (T_BOOLEAN_OR) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 87
[07-Nov-2013 08:05:14 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/100117_0_1383782677.jpg&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[07-Nov-2013 11:58:00 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 14:34:28 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 14:47:17 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 18:23:56 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/100141_0_1383819788.jpg&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[07-Nov-2013 22:40:31 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 22:40:50 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 22:41:07 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 22:42:38 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 22:44:39 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(499): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 22:47:04 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(499): Math->evaluate('')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 22:52:08 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(500): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 22:53:03 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(500): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[07-Nov-2013 22:56:11 Asia/Taipei] PHP Parse error:  syntax error, unexpected '{' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 500
[07-Nov-2013 23:31:11 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/100161_0_1383837442.jpg&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[07-Nov-2013 23:45:06 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/100168_0_1383839094.jpg&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[08-Nov-2013 06:52:50 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 143
[08-Nov-2013 08:40:45 Asia/Taipei] PHP Fatal error:  Uncaught exception 'Exception' with message 'Undefined Value Project' in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php:26
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(21): TerminalExpression::factory('Project')
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(11): Math->parse('Project')
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(516): Math->evaluate('Project')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php on line 26
[08-Nov-2013 11:37:06 Asia/Taipei] PHP Fatal error:  Uncaught exception 'Exception' with message 'Undefined Value Project' in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php:26
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(21): TerminalExpression::factory('Project')
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(11): Math->parse('Project')
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(516): Math->evaluate('Project')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(53): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php on line 26
[08-Nov-2013 19:40:32 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 465
[09-Nov-2013 16:20:05 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/20131109_110227_0.png): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 200
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 17:33:11 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[09-Nov-2013 20:50:32 Asia/Taipei] PHP Warning:  move_uploaded_file(uploads/02_avatar_middle.jpg): failed to open stream: No such file or directory in D:\PHP\TWAMPd\htdocs\upload.php on line 15
[09-Nov-2013 20:50:32 Asia/Taipei] PHP Warning:  move_uploaded_file(): Unable to move 'D:\TMP\phpF35C.tmp' to 'uploads/02_avatar_middle.jpg' in D:\PHP\TWAMPd\htdocs\upload.php on line 15
[10-Nov-2013 16:19:09 Asia/Taipei] PHP Fatal error:  Uncaught exception 'Exception' with message 'Undefined Value ，' in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php:26
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(21): TerminalExpression::factory('???')
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(11): Math->parse('60*3???11*3')
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(518): Math->evaluate('60*3???11*3')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(102): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(54): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php on line 26
[10-Nov-2013 22:25:55 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 720
[10-Nov-2013 22:25:55 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 639
[11-Nov-2013 08:02:20 Asia/Taipei] PHP Parse error:  syntax error, unexpected '{', expecting ')' in D:\PHP\TWAMPd\htdocs\upload.php on line 12
[11-Nov-2013 08:03:41 Asia/Taipei] PHP Parse error:  syntax error, unexpected '{', expecting ')' in D:\PHP\TWAMPd\htdocs\upload.php on line 12
[11-Nov-2013 08:04:10 Asia/Taipei] PHP Parse error:  syntax error, unexpected '{', expecting ')' in D:\PHP\TWAMPd\htdocs\upload.php on line 12
[11-Nov-2013 08:04:34 Asia/Taipei] PHP Parse error:  syntax error, unexpected '{', expecting ')' in D:\PHP\TWAMPd\htdocs\upload.php on line 12
[11-Nov-2013 08:18:24 Asia/Taipei] PHP Parse error:  syntax error, unexpected ')' in D:\PHP\TWAMPd\htdocs\upload.php on line 5
[11-Nov-2013 08:34:39 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\upload.php on line 20
[12-Nov-2013 07:53:11 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 720
[12-Nov-2013 07:53:11 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 639
[12-Nov-2013 07:55:07 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 720
[12-Nov-2013 07:55:07 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 639
[12-Nov-2013 07:57:55 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 720
[12-Nov-2013 07:57:55 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 639
